date,ET,EH,EPH,HUDT,HUDH,HUDPH,HUOT,HUOH,HUOPH,PDT,PDH,PDPH,POT,POH,POPH,POHUT,POHUH,POHUPH,POPT,POPH.1,POPPH,VT,VH,VPH,DET,DEH,DEPH
2018-01-01,101,40,61,42332,29126,13206,23671,15679,7992,160010,89547,70463,69608,33942,35666,55.92,53.83,60.52,43.5,37.9,50.620000000000005,16359,10295,6064,4.255027813436029,3.2969402622632344,5.881596306068602
2018-02-01,101,41,60,38856,27040,11816,19055,12929,6126,146492,83660,62832,58609,30336,28273,49.04,47.81,51.84,40.01,36.26,45,15013,10095,4918,3.903883301139013,3.0050520059435364,5.748881659211062
2018-03-01,99,40,59,42594,29884,12710,10972,9088,1884,160332,91946,68386,28506,19012,9494,25.76,30.41,14.82,17.78,20.68,13.88,8655,6509,2146,3.293587521663778,2.9208787832232295,4.424044734389562
2018-04-01,98,40,58,41850,28920,12930,9182,8223,959,155190,89340,65850,21672,16565,5107,21.94,28.43,7.42,13.96,18.54,7.76,9162,7797,1365,2.3654223968565815,2.124535077593946,3.7413919413919414
2018-05-01,96,40,56,43090,30256,12834,6979,6767,212,158007,92318,65689,14920,13372,1548,16.2,22.37,1.6500000000000001,9.44,14.48,2.36,6561,6173,388,2.274043590916019,2.1662076786003563,3.9896907216494846
2018-06-01,97,40,57,41100,28620,12480,6200,6084,116,149340,85560,63780,14334,12294,2040,15.09,21.26,0.93,9.6,14.370000000000001,3.2,5410,5016,394,2.6495378927911277,2.450956937799043,5.177664974619289
2018-07-01,101,41,60,43673,30473,13200,15638,13191,2447,162660,93589,69071,44529,32643,11886,35.81,43.29,18.54,27.38,34.88,17.21,14479,12338,2141,3.075419573174943,2.6457286432160805,5.551611396543671
2018-08-01,99,41,58,43586,30349,13237,10022,9578,444,161665,93434,68231,22791,20617,2174,22.990000000000002,31.560000000000002,3.35,14.1,22.07,3.19,8930,8249,681,2.5521836506159015,2.4993332525154566,3.1923641703377386
2018-09-01,97,41,56,41730,29190,12540,8314,7411,903,154980,90570,64410,23053,16900,6153,19.92,25.39,7.2,14.870000000000001,18.66,9.55,7157,6076,1081,3.2210423361743747,2.781435154707044,5.691951896392229
2018-10-01,96,41,55,42067,29946,12121,8909,8194,715,158782,93527,65255,27370,19933,7437,21.18,27.36,5.9,17.240000000000002,21.31,11.4,9082,7088,1994,3.0136533803127064,2.812217832957111,3.7296890672016048
2018-11-01,96,40,56,40930,28780,12150,9417,8393,1024,152570,88880,63690,24959,17358,7601,23.01,29.16,8.43,16.36,19.53,11.93,8166,6033,2133,3.056453588048004,2.8771755345599206,3.563525550867323
2018-12-01,95,39,56,41052,28435,12617,6999,5425,1574,154671,88052,66619,19529,12314,7215,17.05,19.080000000000002,12.48,12.63,13.98,10.83,6594,4962,1632,2.9616317864725508,2.4816606207174527,4.420955882352941
2019-01-01,102,41,61,41509,29729,11780,23102,16161,6941,161014,91977,69037,74342,40289,34053,55.655,54.361000000000004,58.922000000000004,46.171,43.803000000000004,49.326,15533,10716,4817,4.786068370565892,3.759705113848451,7.069337762092589
2019-02-01,102,41,61,38080,27328,10752,18633,13918,4715,146916,84252,62664,57534,33380,24154,48.931000000000004,50.929,43.852000000000004,39.161,39.619,38.545,13093,9122,3971,4.3942564729244635,3.659285244463933,6.0825988416016115
2019-03-01,102,41,61,41785,30163,11622,15174,13005,2169,161259,94023,67236,38725,28775,9950,36.314,43.116,18.663,24.014000000000003,30.604000000000003,14.799000000000001,10896,8685,2211,3.5540565345080766,3.3131836499712146,4.500226142017187
2019-04-01,100,40,60,39552,29178,10374,10068,9106,962,155518,90052,65466,24846,19198,5648,25.455000000000002,31.208000000000002,9.273,15.976,21.319000000000003,8.627,8843,7331,1512,2.809679972859889,2.6187423271040786,3.7354497354497354
2019-05-01,96,39,57,40246,28683,11563,7876,7381,495,155484,88958,66526,18658,15758,2900,19.57,25.733,4.281000000000001,12,17.714000000000002,4.359,7848,7117,731,2.377420998980632,2.2141351693129128,3.9671682626538987
2019-06-01,98,39,59,40200,29040,11160,8293,7715,578,153240,88200,65040,20753,16317,4436,20.629,26.567,5.179,13.543000000000001,18.5,6.82,8146,6963,1183,2.5476307390130124,2.343386471348557,3.749788672865596
2019-07-01,100,40,60,42098,30628,11470,18533,15448,3085,159960,92938,67022,50420,36967,13453,44.023,50.438,26.896,31.52,39.776,20.073,15742,12327,3415,3.2028967094397154,2.998864281658149,3.939385065885798
2019-08-01,99,40,59,40479,28978,11501,10206,9441,765,157190,89455,67735,25879,20931,4948,25.213,32.58,6.652,16.464000000000002,23.398,7.305000000000001,9400,7990,1410,2.753085106382979,2.6196495619524405,3.5092198581560283
2019-09-01,99,40,59,38403,27483,10920,8152,6876,1276,150691,84301,66390,22280,14669,7611,21.228,25.019000000000002,11.685,14.785,17.401,11.464,7864,5621,2243,2.8331637843336726,2.6096779932396372,3.393223361569327
2019-10-01,99,40,59,41352,30006,11346,12128,10800,1328,158336,91531,66805,36859,28146,8713,29.329,35.993,11.705,23.279,30.75,13.042,10689,8581,2108,3.4483113481148844,3.2800372916909453,4.133301707779887
2019-11-01,97,39,58,38236,27526,10710,12900,11497,1403,151756,84676,67080,40786,32874,7912,33.738,41.768,13.1,26.876,38.823,11.795,12660,10485,2175,3.2216429699842024,3.135336194563662,3.6377011494252876
2019-12-01,100,40,60,39479,27916,11563,9677,7675,2002,164050,92719,71331,30575,20468,10107,24.512,27.493000000000002,17.314,18.638,22.075,14.169,9217,6253,2964,3.317239882825214,3.27330881177035,3.409919028340081
2020-01-01,101,38,63,46159,34131,12028,26121,18117,8004,164765,91264,73501,78394,42966,35428,56.589000000000006,53.081,66.545,47.579,47.079,48.201,17787,11787,6000,4.40737617360994,3.645202341562739,5.9046666666666665
2020-02-01,97,34,63,42456,30740,11716,22166,15715,6451,151815,81983,69832,66892,36889,30003,52.209,51.122,55.061,44.062000000000005,44.996,42.965,14918,10260,4658,4.48397908566832,3.5954191033138403,6.4411764705882355
2020-03-01,101,38,63,29792,21403,8389,6778,5106,1672,98577,56222,42355,15420,10510,4910,22.751,23.856,19.931,15.643,18.694000000000003,11.592,4357,3537,820,3.539132430571494,2.971444727169918,5.987804878048781
2020-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-08-01,17,NA,NA,3409,NA,NA,311,NA,NA,18407,NA,NA,872,NA,NA,9.123000000000001,NA,NA,4.737,NA,NA,439,NA,NA,1.9863325740318907,NA,NA
2020-09-01,18,NA,NA,4620,NA,NA,395,NA,NA,23520,NA,NA,1243,NA,NA,8.55,NA,NA,5.285,NA,NA,605,NA,NA,2.0545454545454547,NA,NA
2020-10-01,24,NA,NA,8742,NA,NA,615,NA,NA,32953,NA,NA,1841,NA,NA,7.035,NA,NA,5.587000000000001,NA,NA,863,NA,NA,2.1332560834298957,NA,NA
2020-11-01,39,NA,NA,17520,NA,NA,1813,NA,NA,61860,NA,NA,4837,NA,NA,10.348,NA,NA,7.819,NA,NA,2142,NA,NA,2.258169934640523,NA,NA
2020-12-01,67,22,45,28107,17598,10509,4451,2113,2338,98469,46978,51491,12587,4517,8070,15.836,12.007000000000001,22.248,12.783000000000001,9.615,15.673,5363,2603,2760,2.3470072720492263,1.7353054168267383,2.9239130434782608
2021-01-01,86,31,55,37076,26691,10385,20889,13380,7509,137824,70897,66927,63219,30976,32243,56.341,50.129000000000005,72.306,45.869,43.692,48.176,16101,10206,5895,3.926402086826905,3.0350774054477756,5.469550466497031
2021-02-01,86,31,55,35392,25116,10276,20571,14542,6029,130620,67088,63532,58668,33967,24701,58.123000000000005,57.899,58.671,44.915,50.631,38.88,15124,10247,4877,3.879132504628405,3.3148238508831853,5.0647939306950995
2021-03-01,82,31,51,39649,26815,12834,9811,7652,2159,133052,72044,61008,25849,19351,6498,24.745,28.536,16.823,19.428,26.86,10.651,8236,6481,1755,3.1385381253035454,2.9858046597747263,3.7025641025641027
2021-04-01,82,31,51,37588,24658,12930,6137,4842,1295,126276,65256,61020,17029,12182,4847,16.327,19.637,10.015,13.486,18.668,7.9430000000000005,5613,4245,1368,3.0338499910921075,2.8697290930506476,3.54312865497076
2021-05-01,59,31,28,31872,25625,6247,965,927,38,98886,69124,29762,2254,2158,96,3.028,3.6180000000000003,0.608,2.279,3.1220000000000003,0.323,1121,1065,56,2.0107047279214987,2.0262910798122067,1.7142857142857142
2021-06-01,66,31,35,32790,24900,7890,2517,2411,106,105900,66930,38970,5834,5620,214,7.676,9.683,1.343,5.509,8.397,0.549,2779,2696,83,2.0993163008276357,2.0845697329376853,2.5783132530120483
2021-07-01,75,31,44,37820,26970,10850,9765,7929,1836,125612,72323,53289,28071,21275,6796,25.82,29.399,16.922,22.347,29.417,12.753,9521,7984,1537,2.948324755802962,2.6647044088176353,4.4216005204944695
2021-08-01,70,31,39,36673,26970,9703,7470,6416,1054,118544,72447,46097,17364,14003,3361,20.369,23.789,10.863000000000001,14.648000000000001,19.329,7.291,6420,5469,951,2.7046728971962617,2.5604315231303714,3.5341745531019977
2021-09-01,70,31,39,35040,26220,8820,8047,6938,1109,117180,70830,46350,17824,13962,3862,22.965,26.461000000000002,12.574,15.211,19.712,8.332,7642,6124,1518,2.33237372415598,2.2798824297844544,2.544137022397892
2021-10-01,73,31,42,36766,26970,9796,12538,10163,2375,123845,72881,50964,28567,21117,7450,34.102000000000004,37.683,24.245,23.067,28.975,14.618,9877,7661,2216,2.8922749822820695,2.7564286646651874,3.361913357400722
2021-11-01,73,31,42,36150,26580,9570,11668,9335,2333,118276,71550,46726,26755,19847,6908,32.277,35.12,24.378,22.621000000000002,27.739,14.784,9897,8113,1784,2.7033444478124684,2.446320719832368,3.8721973094170403
2021-12-01,86,31,55,37541,26133,11408,12270,8873,3397,137021,74462,62559,34891,22450,12441,32.684000000000005,33.953,29.777,25.464000000000002,30.150000000000002,19.887,10376,7261,3115,3.3626638396299153,3.091860625258229,3.993900481540931
2022-01-01,96,33,63,44981,29202,15779,32223,19215,13008,152892,81747,71145,95689,47623,48066,71.637,65.8,82.43900000000001,62.586000000000006,58.257000000000005,67.561,18428,10550,7878,5.192587367050141,4.5140284360189575,6.101294744859102
2022-02-01,96,33,63,42028,27328,14700,28652,17186,11466,144032,77028,67004,83101,39682,43419,68.174,62.888000000000005,78,57.696000000000005,51.516000000000005,64.801,17007,9907,7100,4.886282119127418,4.005450691430302,6.115352112676057
2022-03-01,94,33,61,44299,29140,15159,16948,11530,5418,150350,82429,67921,40144,25632,14512,38.258,39.568000000000005,35.741,26.7,31.096,21.366,10683,7482,3201,3.7577459515117475,3.425821972734563,4.53358325523274
2022-04-01,94,33,61,42690,28230,14460,14859,10963,3896,145350,79350,66000,36413,25549,10864,34.807,38.835,26.943,25.052,32.198,16.461000000000002,10485,7738,2747,3.4728659990462565,3.3017575600930473,3.9548598471059337
2022-05-01,90,33,57,41578,27349,14229,7793,6970,823,145239,79519,65720,18427,16225,2202,18.743000000000002,25.485000000000003,5.784000000000001,12.687000000000001,20.404,3.351,6587,5961,626,2.7974798846212234,2.7218587485321253,3.5175718849840254
2022-06-01,82,33,49,40300,28290,12010,9785,8554,1231,136600,79590,57010,23682,19656,4026,24.28,30.237000000000002,10.25,17.337,24.697000000000003,7.062,7845,6702,1143,3.018738049713193,2.9328558639212177,3.522309711286089
2022-07-01,83,33,50,43493,29760,13733,19580,14451,5129,147312,84072,63240,55286,35891,19395,45.019000000000005,48.558,37.348,37.53,42.691,30.669,14412,10661,3751,3.8361087982237025,3.3665697401744676,5.1706211676886165
2022-08-01,79,33,46,41602,29295,12307,10072,8481,1591,139934,82708,57226,25215,20431,4784,24.21,28.95,12.928,18.019000000000002,24.703000000000003,8.36,9544,7845,1699,2.6419740150880133,2.604333970681963,2.8157739846968806
